Date,Time
2004-05-09,8.28194444
2004-09-02,7.93833333
2004-09-03,0.59111111
2004-09-04,8.89583333
2004-09-05,1.65333333
2004-09-06,19.0661111
2004-09-07,9.58388888
2004-09-09,7.09472222
2005-01-29,2.94361111
2005-01-30,9.51666666
2005-01-31,3.37194444
2005-08-06,6.84472222
2005-08-07,9.35944444
2006-01-16,1.12805555
2006-01-17,3.65888888
2006-01-18,4.60166666
2006-01-19,0.48583333
2006-01-20,3.20888888
2006-01-21,1.09805555
2006-01-22,2.45027777
2006-01-23,0.36722222
2006-01-24,4.45166666
2006-01-25,2.02777777
2006-01-26,1.59694444
2006-01-29,10.0927777
2006-01-30,7.95527777
2006-05-12,0.61694444
2006-05-13,11.9216666
2006-05-14,0.1925
2006-05-15,3.87527777
2006-05-16,4.58861111
2006-05-17,4.64444444
2006-05-18,1.09777777
2006-05-19,0.19472222
2006-05-20,5.91111111
2006-05-24,1.85777777
2006-05-25,3.15388888
2006-05-26,4.755
2006-09-19,10.0991666
2006-09-20,10.1755555
2006-09-22,4.57055555
2006-09-23,6.07527777
2006-09-24,7.02222222
2006-09-25,6.7575
2006-09-26,1.87722222
2006-09-27,10.4013888
2006-09-28,8.20555555
2006-09-29,15.8302777
2006-09-30,4.57888888
2007-01-16,0.61472222
2007-01-17,6.95277777
2007-01-18,16.4469444
2007-01-19,3.41083333
2007-01-21,5.91805555
2007-01-22,6.27027777
2007-01-23,4.41444444
2007-01-25,4.09805555
2007-01-26,11.5986111
2007-01-29,2.4275
2007-01-30,6.78472222
2008-01-15,0.67555555
2008-01-16,1.12388888
2008-01-17,3.69166666
2008-01-18,9.12194444
2008-01-19,6.61
2008-01-20,3.39055555
2008-01-21,3.0775
2008-01-22,4.04805555
2008-01-23,0.50611111
2008-01-24,1.2625
2008-01-25,1.18083333
2008-06-05,1.575
2008-10-02,4.225
2009-02-04,2.27722222
2009-05-30,2.22166666
2009-06-05,3.76333333
2009-06-06,1.11833333
2009-06-08,2.04972222
2009-06-09,1.17972222
2009-09-29,7.99972222
2009-09-30,2.25638888
2009-10-01,7.54555555
2009-10-02,1.71083333
2009-10-08,1.545
2009-10-09,11.8352777
2009-10-13,2.14
2010-10-06,9.92638888
2010-10-09,1.71305555
2010-10-10,3.03777777
2010-10-11,5.65277777
2012-01-27,2.72638888
2012-02-07,2.22055555
2012-07-26,0.92777777
2012-07-27,9.68444444
2012-07-28,3.07861111
2012-07-29,2.47361111
2012-08-04,5.47638888
2012-08-05,0.67555555
2012-08-08,0.51583333
2012-08-09,0.43277777
2013-01-30,2.21861111
